timestamp,x,y
7237122126272,-0.391729,0.297076
7237422272816,-0.0260379,0.213688
7237722482712,-0.0258398,0.235335
7238022653632,-0.0278223,-0.13632
7238322806771,-0.26724,0.166111
7238622987569,-0.397368,0.018512
7238923206763,-0.159728,0.0101909
7239223401809,0.115491,-0.0353315
7239523548775,-0.314144,0.12957
7239823706932,-0.0115983,0.218159
7240123883135,-0.0336819,-0.101887
7240424070407,-0.0283383,-0.139395
7240724313944,0.267301,-0.24599
7241024537355,0.801719,-0.162583
7241324706863,0.623469,0.146658
7241624878065,0.565858,0.0371306
7241925075728,0.476606,0.254807
