timestamp,x,y
13646889287533,0.149324,-0.254611
13647189391958,0.213749,-0.241774
13647489551527,0.0195794,-0.195014
13647789719253,0.339047,-0.165182
13648089875566,0.820866,-0.320751
13648390054453,0.497952,-0.103266
13648690225544,0.487773,-0.0199073
13648990393680,0.761096,-0.519799
13649290595670,0.428013,-0.200029
13649590740232,0.729668,-0.272077
13649890901244,0.288007,0.142069
13650191052238,0.634927,0.442122
13650491194986,0.425364,-0.169684
13650791363853,0.652044,0.0655722
13651091553009,0.211315,0.815855
13651391806346,-0.146577,1.06509
13651692047691,-0.289103,1.30997
