timestamp,x,y
7247783288228,1.06259e-10,4.25036e-11
7248083410215,0.00500073,0.00200029
7248383631321,0.0150015,0.00600058
7248683864480,0.0300022,0.0120009
7248984055279,0.0500029,0.0200012
7249284229578,0.0750036,0.0300015
7249584417020,0.105004,0.0420017
7249884567803,0.140005,0.056002
7250184736921,0.180006,0.0720023
7250484904636,0.225007,0.0900026
7250785071369,0.275007,0.110003
7251085276596,0.330008,0.132003
7251385449921,0.390009,0.156003
7251685613929,0.455009,0.182004
7251985782727,0.52501,0.210004
7252285951293,0.600011,0.240004
7252586095714,0.680012,0.272005
