timestamp,x,y
7247783288228,0.084815,0.0928619
7248083410215,0.630944,0.280117
7248383631321,-0.463217,-0.0491031
7248683864480,-0.144491,-0.944906
7248984055279,0.329848,-0.795486
7249284229578,-0.175861,-0.021023
7249584417020,-0.0479606,-0.142225
7249884567803,0.740584,0.379997
7250184736921,0.352586,-0.198504
7250484904636,-0.0428313,0.123712
7250785071369,0.466373,0.67961
7251085276596,-0.424941,-0.244853
7251385449921,0.117027,0.0254424
7251685613929,1.38195,0.375586
7251985782727,0.368984,0.696188
7252285951293,0.335011,0.390621
7252586095714,0.0681833,0.757424
