timestamp,x,y
7231771680106,-1.10711,1.50528
7232071783303,-1.03506,1.48188
7232371942432,-0.936349,1.26978
7232672100840,-0.899311,1.04349
7232972248417,-0.756119,1.08251
7233272429106,-0.689684,1.01168
7233572587543,-0.724811,0.971148
7233872736884,-0.567488,0.912434
7234172961066,-0.480411,0.735678
7234473285658,-0.590202,0.785189
7234773446480,-0.565322,0.641443
7235073609987,-0.425709,0.59343
7235373842416,-0.281357,0.558914
7235674012846,-0.290128,0.468859
7235974195028,-0.185058,0.405348
7236274367181,-0.00253863,0.356468
7236574545265,0.0776878,0.280881
